instanceType,memoryPerInstance-GiB,vCpuPerInstance,gPuPerInstance,gPuType,gPuMemory-GiB,cPuType,cPuClockSpeed
m6i.32xlarge,512,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m6i.metal,512,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
i7ie.12xlarge,384,48,0,,0,Intel Xeon Scalable (Emerald Rapids),4 GHz
r6idn.16xlarge,512,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
x8g.16xlarge,1024,64,0,,0,AWS Graviton4 Processor,2.7 GHz
r5ad.24xlarge,768,96,0,,0,AMD EPYC 7571,2.5 GHz
d3en.12xlarge,192,48,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r7i.metal-24xl,768,96,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
r7i.24xlarge,768,96,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
c6id.32xlarge,256,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c6id.metal,256,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
inf2.24xlarge,384,96,6,AWS Inferentia2,192,AMD EPYC 7R13 Processor,2.95 GHz
m5dn.24xlarge,384,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
m5dn.metal,384,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
c7a.32xlarge,256,128,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
x2idn.16xlarge,1024,64,0,,0,Intel Xeon Scalable (Icelake),3.5 GHz
x1.16xlarge,976,64,0,,0,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz
x2iedn.8xlarge,1024,32,0,,0,Intel Xeon Scalable (Icelake),3.5 GHz
x1e.8xlarge,976,32,0,,0,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz
x2iezn.8xlarge,1024,32,0,,0,Intel Xeon Platinum 8252,4.5 GHz
g6.24xlarge,384,96,4,NVIDIA L4,96,AMD EPYC 7R13 Processor,2.6 GHz
m6in.24xlarge,384,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
i2.8xlarge,244,32,0,,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz
r5d.24xlarge,768,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
r5d.metal,768,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
r5n.metal,768,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz
r5b.metal,768,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r5n.24xlarge,768,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz
r5b.24xlarge,768,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
p2.8xlarge,488,32,4,NVIDIA Tesla K80,96,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
c6in.metal,256,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r6id.24xlarge,768,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r6a.32xlarge,1024,128,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
c6in.32xlarge,256,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r7a.24xlarge,768,96,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
c6a.48xlarge,384,192,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
c6a.metal,384,192,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
m7a.32xlarge,512,128,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
g6e.16xlarge,512,64,1,,0,AMD EPYC 7R13 Processor,2.6 GHz
m6id.32xlarge,512,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m6id.metal,512,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m6idn.24xlarge,384,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c8g.metal-48xl,384,192,0,,0,AWS Graviton4 Processor,2.7 GHz
c8g.48xlarge,384,192,0,,0,AWS Graviton4 Processor,2.7 GHz
g4dn.metal,384,96,8,NVIDIA T4 Tensor Core,128,Intel Xeon Family,2.5 GHz
r5dn.24xlarge,768,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r5dn.metal,768,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r6i.metal,1024,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r6i.32xlarge,1024,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
g5.24xlarge,384,96,4,NVIDIA A10G,96,AMD EPYC 7R32,2.8 GHz
i4i.24xlarge,768,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
